month,date,min_temp,max_temp,sunrise,sunset,moonrise,moonset,wind_speed(km/h),wind_dir,rain(mm),humidity(%),cloud(%),pressure(mb),weather
5,8,23,28,05:23 AM,06:24 PM,05:45 PM,04:19 AM,13,SE,15.6,89,87,1006,Heavy rain at times
5,9,24,27,05:22 AM,06:24 PM,06:41 PM,05:00 AM,11,ESE,7.0,93,96,1005,Patchy rain possible
5,10,24,29,05:21 AM,06:25 PM,07:37 PM,05:45 AM,10,SE,6.8,92,77,1006,Moderate or heavy rain shower
5,11,24,31,05:21 AM,06:25 PM,08:30 PM,06:33 AM,10,SE,9.0,89,66,1008,Moderate or heavy rain shower
5,12,24,31,05:21 AM,06:26 PM,09:22 PM,07:24 AM,8,SE,3.0,88,55,1009,Heavy rain at times
5,13,23,30,05:20 AM,06:26 PM,10:08 PM,08:16 AM,7,SSE,1.9,88,55,1008,Moderate rain at times
5,14,23,29,05:20 AM,06:26 PM,10:51 PM,09:10 AM,8,SE,2.9,91,51,1008,Patchy rain possible
5,15,24,28,05:19 AM,06:27 PM,11:30 PM,10:02 AM,10,SE,13.5,94,80,1009,Moderate or heavy rain shower
5,16,24,29,05:19 AM,06:27 PM,No moonrise,10:54 AM,9,SSE,15.3,95,71,1010,Moderate or heavy rain shower
5,17,25,29,05:18 AM,06:28 PM,12:05 AM,11:46 AM,8,SSE,11.3,96,62,1010,Moderate or heavy rain shower
5,18,25,32,05:18 AM,06:28 PM,12:39 AM,12:36 PM,7,SSE,5.3,92,68,1008,Heavy rain at times
5,19,25,32,05:18 AM,06:29 PM,01:13 AM,01:28 PM,8,SSE,29.3,89,64,1006,Moderate or heavy rain shower
5,20,23,29,05:17 AM,06:29 PM,01:47 AM,02:21 PM,7,ENE,27.2,92,61,1007,Patchy rain possible
5,21,22,26,05:17 AM,06:29 PM,02:22 AM,03:18 PM,5,ESE,11.5,94,88,1009,Heavy rain at times
5,22,23,28,05:17 AM,06:30 PM,03:01 AM,04:17 PM,5,E,12.7,93,72,1009,Moderate or heavy rain shower
5,23,23,31,05:16 AM,06:30 PM,03:45 AM,05:22 PM,6,SW,3.5,86,55,1007,Patchy rain possible
5,24,24,33,05:16 AM,06:31 PM,04:36 AM,06:28 PM,6,SE,0.3,87,41,1006,Patchy rain possible
5,25,24,33,05:16 AM,06:31 PM,05:34 AM,07:36 PM,6,ESE,0.2,84,44,1006,Partly cloudy
5,26,24,32,05:16 AM,06:32 PM,06:38 AM,08:40 PM,6,E,0.8,88,55,1005,Patchy rain possible
5,27,24,32,05:16 AM,06:32 PM,07:46 AM,09:38 PM,7,ESE,0.2,88,45,1003,Patchy rain possible
5,28,25,32,05:15 AM,06:32 PM,08:54 AM,10:28 PM,7,E,28.9,90,74,1005,Moderate or heavy rain shower
5,29,21,25,05:15 AM,06:33 PM,09:59 AM,11:13 PM,11,SW,39.0,90,92,1011,Moderate or heavy rain shower
5,30,22,30,05:15 AM,06:33 PM,11:01 AM,11:53 PM,7,S,0.0,80,43,1012,Partly cloudy
5,31,22,31,05:15 AM,06:34 PM,11:59 AM,No moonset,5,SSE,0.0,77,41,1009,Partly cloudy
6,1,23,31,05:15 AM,06:34 PM,12:55 PM,12:30 AM,9,SSE,5.1,86,56,1004,Moderate or heavy rain shower
6,2,25,34,05:15 AM,06:34 PM,01:50 PM,01:06 AM,6,SE,47.1,88,58,1001,Moderate or heavy rain shower
6,3,25,29,05:15 AM,06:35 PM,02:44 PM,01:42 AM,8,SSW,15.0,83,61,1001,Moderate rain at times
6,4,23,33,05:15 AM,06:35 PM,03:39 PM,02:19 AM,4,SW,0.0,78,10,1002,Sunny
6,5,24,33,05:15 AM,06:36 PM,04:34 PM,02:59 AM,4,E,0.3,77,41,1003,Patchy rain possible
6,6,26,32,05:15 AM,06:36 PM,05:30 PM,03:42 AM,7,S,8.7,83,76,1002,Moderate or heavy rain shower
6,7,25,34,05:15 AM,06:36 PM,06:24 PM,04:28 AM,7,SSW,1.6,79,51,1001,Patchy rain possible
6,8,26,36,05:15 AM,06:37 PM,07:16 PM,05:18 AM,8,S,0.0,75,41,1001,Partly cloudy
6,9,26,36,05:15 AM,06:37 PM,08:04 PM,06:10 AM,5,SSE,0.0,77,32,1003,Partly cloudy
6,10,26,35,05:15 AM,06:37 PM,08:48 PM,07:03 AM,6,ESE,9.0,76,49,1004,Cloudy
6,11,26,32,05:15 AM,06:38 PM,09:28 PM,07:56 AM,6,ESE,18.0,86,47,1004,Moderate or heavy rain shower
6,12,26,35,05:15 AM,06:38 PM,10:04 PM,08:48 AM,5,SE,0.0,79,25,1003,Partly cloudy
6,13,26,33,05:15 AM,06:38 PM,10:39 PM,09:39 AM,6,SSW,4.4,78,41,1004,Partly cloudy
6,14,27,34,05:15 AM,06:39 PM,11:12 PM,10:29 AM,4,ESE,18.5,77,54,1003,Heavy rain at times
